feature,importance
is_hotel_room,0.07957438
host_is_superhost,0.07768397
host_total_listings_count,0.060768582
has_air_conditioning,0.0493267
has_kitchen,0.044092625
is_private_room,0.04349115
review_scores_rating,0.042909678
availability_365,0.042798825
host_acceptance_rate,0.04259025
number_of_reviews,0.04200574
host_tenure_days,0.0415751
has_heating,0.037716772
minimum_nights,0.036907062
price,0.036297835
reviews_per_month,0.035872824
is_entire_place,0.03468569
instant_bookable,0.034028515
maximum_nights,0.032936424
beds,0.032413132
bathrooms,0.031998556
accommodates,0.031455196
host_has_profile_pic,0.030643167
bedrooms,0.030327003
has_wifi,0.027900875
